Article Title	link	Primeira fase - Leitura de títulos<br>**Critério de exclusão de títulos** = *Não tem conversação (NTC)*	Segunda fase - Leitura de abstracts<br>**Critério de exclusão** = *Não tem BDI ou não é embarcado*
Agentic AI: A Survey of Autonomous Agents, Architectures, and Emerging Applications		X - NTC	-
Agentic Edge Intelligence: A Research Agenda		X - NTC	-
Agent oriented software engineering: a comparative study between methodologies that support the development of multi-agent systems		X - NTC	-
A Human-Robot Interactive Mahjong Playing System Based on Visual Recognition Using a Convolutional Neural Network		!	
AI-augmented Business Process Management Systems: A Research Manifesto		X - NTC	-
AI Extenders: The Ethical and Societal Implications of Humans Cognitively Extended by AI		X - NTC	-
AI in Finance: Challenges, Techniques, and Opportunities		X - NTC	-
Ambient intelligence: A survey		X - NTC	-
A method for estimation of redial and reconnect probabilities in call centers		X - NTC	
A multi-agent architecture for process management accommodates unexpected performance		X - NTC	-
A Multiagent-Based Agile Work Distribution System		X - NTC	-
A multi-agent based system for affective peer-e-learning		X - NTC	-
A multimodal system to characterise melancholia: cascaded bag of words approach		!	
An agent-based annotation model for narrative media		!	
An agent-based approach to dialogue management in personal assistants		!	
An agent-based approach to modeling online social influence		X - NTC	-
An analysis of formal inter-agent dialogues		X - NTC - Queremos comunição humano agente	
An Effective Drought Early Warning System for Sub-Saharan Africa: Integrating Modern and Indigenous Approaches		X - NTC	-
An empathic virtual dialog agent to improve human-machine interaction		!	
A Neural Network Approach to Intention Modeling for User-Adapted Conversational Agents		!	
An Ontology Network for Citizen Curation		!	
A Normative Agent System to Prevent Cyberbullying		X - NTC	-
A perception framework for intelligent characters in serious games		X - NTC	-
Applied Affective Computing		X - NTC o título não fala sobre conversação nem BDI, nem conversa, nem chat...	-
A probabilistic formalization of the appraisal for the OCC event-based emotions		X - NTC	-
